process	Analyte	cellline	R1	R2	fdr
TGF-Beta	Smad3	HT29	-0.06352513778521439	-0.3436231659866813	0.7406482120673324
APOPTOSIS	Bak  BG/MP	HT29	0	0.5849639434169184	0.7646694440681296
APOPTOSIS	Bim	HT29	0.3117082525694834	0.04686660503797414	0.7646694440681296
APOPTOSIS	Caspase 5	HT29	0	0.6959952558056621	0.7646694440681296
APOPTOSIS	Caspase 6	HT29	0.4835526110092333	0.0542913553146982	0.7646694440681296
APOPTOSIS	Caspase 8  BG/MP (p43)	HT29	0	0.6959952558056621	0.7646694440681296
AUTOPHAGY	APG3L (peak1)	HT29	1.2809577565268184	0	0.7646694440681296
CELL CYCLE	ATM	HT29	0	-0.5260702543633499	0.7646694440681296
CELL CYCLE	cdc2 (CDK1) - p- Y15	HT29	0.9580446835586216	0.03952836418663728	0.7646694440681296
CELL CYCLE	cdc25A	HT29	0.028039701493092484	0.256298985918955	0.7646694440681296
CELL CYCLE	CDK6 - p- Y13	HT29	0.20210540719146217	1.29176612437711	0.7646694440681296
CELL CYCLE	p21 (Waf1, Cip1, CDKN1A)	HT29	0	1.44890239384089	0.7646694440681296
CELL CYCLE	p53 - acetyl Lys305	HT29	0	0.41503749927884376	0.7646694440681296
CELL CYCLE	p53 - p- S20	HT29	-1.3840512494909218	0	0.7646694440681296
CELL CYCLE	p53 - p- S392	HT29	-0.02081847150755425	-0.21974089506004324	0.7646694440681296
CELL CYCLE	p53 - p- S6 BG/MP	HT29	0.9634755666706482	0.04064198449734577	0.7646694440681296
MAPK	DUSP4 (peak1)	HT29	0.03747470541866296	0.7306100991263828	0.7646694440681296
MAPK	Erk1/2 (MAPK p44/42) (peak2)	HT29	0.6348605610031585	0.08175089734795601	0.7646694440681296
METABOLISM	PKC alpha	HT29	-0.7484626756997979	0	0.7646694440681296
NFKB	IkappaB alpha - p- S32	HT29	-0.9855018730006472	0	0.7646694440681296
TRANSCRIPTIONAL REGULATION	c-myc - p- T58/S62	HT29	0.8237508030040348	0	0.7646694440681296
TRANSCRIPTIONAL REGULATION	STAT 5 alpha	HT29	0	-0.5849639434169185	0.7646694440681296
TRANSLATIONAL CONTROL	eIF2 alpha	HT29	0.5166625215524855	0.06654930688357932	0.7646694440681296
TRANSLATIONAL CONTROL	eIF4E	HT29	0.37997305224322075	0.024535816203854918	0.7646694440681296
WNT	GSK3 beta  (peak2)	HT29	0.048726039816421284	0.5102153056571885	0.7646694440681296
WNT	TCF4  (peak 1)	HT29	0	1.1890352670857793	0.7646694440681296
WNT	TCF4  (peak 2)	HT29	0	1.1890352670857793	0.7646694440681296
AUTOPHAGY	APG12L (ATG12)	HT29	0	-0.040077439375335165	0.7650730572799066
CELL CYCLE	CDK2	HT29	0.846290584604547	-0.010888316142736243	0.7650730572799066
PI3K/AKT	Akt	HT29	0.41951915033739806	-0.015767315858316675	0.7884044583021014
CELL CYCLE	CDK3	HT29	0.8108952797628526	-0.08130010210184817	0.8591035253593814
APOPTOSIS	PARP (full length)	HT29	-0.22089399628011783	0.028095201685228166	0.884424740871675
TRANSLATIONAL CONTROL	eIF4E - p- S209	HT29	0.5063526660247898	-0.0713174045016527	0.8923645485018801
APOPTOSIS	Caspase 3	HT29	0.33506641469032616	-0.07044568426715023	0.9408755834735474
APOPTOSIS	Caspase 8 - cleaved D374/D391 (25kDa)	HT29	-0.6562675347942892	3.2494467837816012	0.9408755834735474
METABOLISM	PKC (pan) - p- S660	HT29	-0.6959952558056621	0.1429579538420431	0.9408755834735474
TRANSLATIONAL CONTROL	eIF2 alpha - p- S51	HT29	-0.4000871578128723	0.08113676272540553	0.9408755834735474
CELL CYCLE	p27 (Kip1, CDKN1B)	HT29	-0.29545588352617136	1.148098638989134	0.9868197482976554
APOPTOSIS	Bad	HT29	0	0	1
APOPTOSIS	Bad - p- S136	HT29	0	0	1
APOPTOSIS	Bcl2	HT29	0	0	1
APOPTOSIS	Caspase 3 - cleaved D175	HT29	0	0	1
APOPTOSIS	Caspase 8 - cleaved D374/D391 (p41)	HT29	0	0	1
APOPTOSIS	Caspase 9 - cleaved D315	HT29	0	0	1
APOPTOSIS	Caspase 9 - cleaved D330	HT29	0	0	1
APOPTOSIS	PARP - cleaved D214	HT29	0	0	1
AUTOPHAGY	APG4B	HT29	0	0	1
AUTOPHAGY	APG7L  (peak1)	HT29	0	0	1
AUTOPHAGY	LC3B I	HT29	0	0	1
CELL CYCLE	Aurora A (AIK)	HT29	0	0	1
CELL CYCLE	Aurora A (AIK) - p- T288	HT29	0	0	1
CELL CYCLE	cdc27 (peak2)	HT29	0	0	1
CELL CYCLE	CDK6	HT29	0	0	1
CELL CYCLE	CDK6 - p- Y24	HT29	-1.1309323125222108	0.6166713604484945	1
CELL CYCLE	CDKN2A	HT29	0	0	1
CELL CYCLE	Chk1 - p- S296	HT29	0	0	1
CELL CYCLE	Chk2 - p- T68	HT29	0	0	1
CELL CYCLE	Cyclin B1 - p- S133	HT29	0	0	1
CELL CYCLE	Cyclin D2	HT29	0	0	1
CELL CYCLE	Cyclin E2  TK	HT29	0	0	1
CELL CYCLE	p27 (Kip1, CDKN1B) - p- S10	HT29	0	0	1
CELL CYCLE	p27 (Kip1, CDKN1B) - p- T187	HT29	0	0	1
CELL CYCLE	p53	HT29	0.05812640793696775	-0.18836376341578345	1
CELL CYCLE	p53 - p- S15	HT29	0	0	1
CELL CYCLE	p53 - p- S37 BG/MP	HT29	0	0	1
CELL CYCLE	p53 - p- S46 BG/MP	HT29	-0.07681559705083084	0.14383577257365138	1
CELL CYCLE	p53 - p- S9 BG/MP	HT29	0	0	1
MAPK	b-Raf  TK	HT29	0	0	1
MAPK	c-Raf	HT29	0	0	1
MAPK	DUSP4 (peak2)	HT29	0.7414669864011469	-0.5256815629628362	1
MAPK	Erk1 (MAPK p44)  TK	HT29	0	0	1
MAPK	JNK/SAPK  (peak1)	HT29	0.22239242133644802	-0.7227342083255467	1
MAPK	JNK/SAPK - p- T183/Y185	HT29	0	0	1
MAPK	JNK/SAPK 1/2/3 - p- Y185/Y223	HT29	0.42998784074481544	-0.5849639434169185	1
MAPK	MEK1	HT29	0.5168397798017033	-0.25604355976440646	1
MAPK	MEK1/2 - p- S217/S221	HT29	0.6438561897747247	-0.31227792485364314	1
MAPK	PEA-15 (PED)	HT29	0	0	1
MAPK	PEA-15 (PED) - p- S104	HT29	0	0	1
METABOLISM	AMPK alpha - p- T172	HT29	2.3303077605033358	-0.7055526415347447	1
METABOLISM	mTOR (FRAP)- p- S2448	HT29	0.2376915577193306	-0.20645087746742632	1
METABOLISM	PPAR alpha - p- S12	HT29	-2.0391398366027205	2.3923188654745227	1
NFKB	IkappaB alpha	HT29	0	0	1
NFKB	IKK alpha/beta - p- S176/S180	HT29	0	0	1
NFKB	NF-κB p65	HT29	0	0	1
NFKB	NF-κB p65 - p- S468	HT29	0	0	1
NFKB	NF-κB p65 - p- S536	HT29	0	0	1
PI3K/AKT	Akt - p- S473	HT29	0	0	1
PI3K/AKT	Akt - p- T308	HT29	0	0	1
PI3K/AKT	Akt1 - p- S473	HT29	0	0	1
PI3K/AKT	Akt2	HT29	0	0	1
PI3K/AKT	Akt2 - p- S474	HT29	0	0	1
PI3K/AKT	Akt3	HT29	0	0	1
PI3K/AKT	c-Met (HGF/SF receptor) - p- Y1349	HT29	0	0	1
TGF-Beta	Smad4	HT29	0	0	1
TRANSCRIPTIONAL REGULATION	c-Jun - p- S63	HT29	0	0	1
TRANSCRIPTIONAL REGULATION	c-myc  (peak1)	HT29	-0.225559700415131	0.2302976194217942	1
TRANSCRIPTIONAL REGULATION	c-myc  (peak2)	HT29	0.16319016741358452	-0.13385574673479061	1
TRANSCRIPTIONAL REGULATION	HIF1 alpha	HT29	0	0	1
TRANSCRIPTIONAL REGULATION	STAT 4	HT29	0	0	1
WNT	Axin1	HT29	0	0	1
WNT	Axin2 (Conductin)	HT29	0	0	1
WNT	beta-Catenin - p- S45	HT29	0	0	1
WNT	Caseinkinase 2 alpha  TK	HT29	-0.4687253701728321	0.22688540236082858	1
WNT	Dvl2	HT29	0	0	1
WNT	Dvl3	HT29	0	0	1
WNT	GSK3 beta  (peak1)	HT29	0.2357008156243584	-0.39475646823017757	1
WNT	LEF1	HT29	0	0	1
WNT	LRP6 - p- S1490	HT29	0	0	1
WNT	Naked1	HT29	0	0	1
