gene1	gene2	doublemut	singlemut	significant	fdr
itfw	fixc	-16.8767126	-6.098589423	negative	0.078056344
qjki	fixc	1.068775719	-0.233868945	non-significant	0.623524256
igtf	fixc	-7.984255909	0.860102901	non-significant	0.567623737
kfly	fixc	-0.995634329	1.124049714	non-significant	0.707967144
kwpx	fixc	-5.143171068	-1.046867578	non-significant	0.842165678
zagu	fixc	-6.535054505	-1.395015193	non-significant	0.983249034
ourk	fixc	-10.50399998	-6.210160078	non-significant	0.994518623
imed	fixc	-3.629541996	2.26305341	non-significant	0.900737333
xqph	fixc	-3.252257297	0.179679833	non-significant	0.887533898
ipgk	fixc	-1.672651178	-0.321951477	non-significant	0.350829538
trkn	fixc	-6.883254259	0.347208151	non-significant	0.469174529
bbuw	fixc	2.109967595	-2.112012533	non-significant	0.155887878
icsu	fixc	-12.90835139	1.464853263	non-significant	0.581042604
dmfv	fixc	-0.227909764	0.264505093	non-significant	0.591868152
ootw	fixc	-14.89084037	-6.917301982	non-significant	0.524580603
mzan	fixc	-17.34870117	3.96930224	negative	0.01768846
yazr	fixc	-10.23348694	-10.54456333	non-significant	0.706405479
voec	fixc	-23.0123859	-1.632540342	non-significant	0.595993843
ngtk	fixc	3.219249255	0.325327094	non-significant	0.297737765
jgml	fixc	3.219433125	0.864795969	non-significant	0.1015756
wqrq	fixc	-6.097081587	-5.675455771	non-significant	0.747864524
zuwz	fixc	3.309022754	0.782501007	non-significant	0.122222907
cpyc	fixc	-12.11777901	1.108816047	negative	0.024896131
zyrv	fixc	-15.84886512	0.987235772	negative	0.09009705
tfxn	fixc	-9.351102935	0.092741589	non-significant	0.152887741
yrrc	fixc	-2.123592161	0.614852862	non-significant	0.47607136
bdga	fixc	-3.648666541	1.207188103	non-significant	0.95215404
wgeq	fixc	-14.69153928	-18.69965892	non-significant	0.154999059
dbjx	fixc	-1.683506187	0.654272097	non-significant	0.196490103
dqqj	fixc	-23.42479874	-17.24606169	non-significant	0.366609217
yhdr	fixc	-23.99843478	-21.33741453	non-significant	0.907480855
hxmy	fixc	-18.13215375	-16.8808578	non-significant	0.814838938
xtfz	fixc	-13.57411087	1.6463022	negative	0.081296109
cttr	fixc	-9.472389285	-2.622559031	non-significant	0.811549875
onxh	fixc	-22.46529404	0.338077317	negative	0.040073466
pwka	fixc	-27.64396588	-21.26181259	non-significant	0.436827512
mqao	fixc	-10.65709993	4.068608471	non-significant	0.217263555
zujs	fixc	-12.70963349	-13.72899433	non-significant	0.701190811
rejq	fixc	-27.09491339	-15.2885283	negative	0.098764331
nnoq	fixc	-12.92371305	-0.642598952	non-significant	0.175421892
edya	fixc	-2.760408857	0.51413826	non-significant	0.69290039
dadr	fixc	-19.61296188	-18.05159984	non-significant	0.788834342
iazm	fixc	-17.44463757	-0.723899336	negative	0.043050814
mdya	fixc	-4.76412978	2.205568022	non-significant	0.167441015
hvcl	fixc	-1.906593134	0.045305949	non-significant	0.611780149
pibn	fixc	-1.89833371	0.895244127	non-significant	0.578972819
qqkv	fixc	-5.262989221	-0.366890858	non-significant	0.971702984
czwg	fixc	-18.09360263	-1.175998887	negative	0.021749918
nsak	fixc	-4.892822575	5.384756964	non-significant	0.408912405
veja	fixc	-11.32657397	-4.340134186	non-significant	0.836285777
aaaf	fixc	0.133543254	0.845146792	non-significant	0.771157353
yxyq	fixc	-10.49669541	4.126582443	negative	0.044498957
voxp	fixc	-24.66573917	0.341943514	negative	0.018170237
rplj	fixc	-1.001270066	-0.885806048	non-significant	0.245284136
oygk	fixc	2.448313053	-2.25105144	positive	0.041003019
mryj	fixc	-8.145297781	-0.118242731	non-significant	0.746542054
tgap	fixc	-7.044001773	-6.485881152	non-significant	0.356163916
cuir	fixc	1.656779464	-0.672976128	non-significant	0.332358382
syhi	fixc	-2.043795427	0.986062443	non-significant	0.782390114
